,From,To,Operator,Distance,Departure,Arrival,Has A/C?,Sleeper Category,Is Seater?,Is Multi-Axle?,Has Video?,Pushback Seats,Seat Format,Bus Brand,Duration
47,Khamgaon,Tuljapur,akash BUS AMRAVATI-Sangeetam 2x1,382,08:45:00 PM,03:45:00 AM,False,Other,False,False,False,False,,,0 days 07:00:00
48,Khamgaon,Mumbai,akash BUS AMRAVATI-2x1 a/c air sus-lcd,543,09:15:00 PM,08:15:00 AM,True,Other,False,False,False,False,,,0 days 11:00:00
49,Khamgaon,Pune,Rachna Travels,436,09:50:00 PM,08:44:00 AM,False,Other,False,False,False,False,,,0 days 10:54:00
50,Khamgaon,Pune,Sangeetam Travels,436,09:00:00 PM,07:54:00 AM,True,Other,False,False,False,False,,,0 days 10:54:00
51,Khamgaon,Pune,akash BUS AMRAVATI,436,09:00:00 PM,03:00:00 AM,False,Other,False,False,False,False,,,0 days 06:00:00
52,Khamgaon,Pune,akash BUS AMRAVATI,436,11:00:00 PM,07:30:00 AM,True,Other,False,False,False,False,,,0 days 08:30:00
53,Khamgaon,Pune,akash BUS AMRAVATI,436,12:00:00 AM,06:00:00 AM,False,Other,False,False,False,False,,,0 days 06:00:00
54,Khamgaon,Pune,akash BUS AMRAVATI,436,09:45:00 PM,06:15:00 AM,False,Other,False,False,False,False,,,0 days 08:30:00
55,Khamgaon,Dhule,Vidarbha Express,223,09:00:00 PM,02:35:00 AM,False,Other,False,False,False,False,,,0 days 05:35:00
56,Akot,Malegaon,Sheetal Travels Akola,80,07:00:00 PM,09:00:00 PM,False,Other,False,False,False,False,,,0 days 02:00:00
57,Akot,Shegaon,Sheetal Travels Akola,56,05:00:00 PM,07:00:00 PM,False,Other,False,False,False,False,,,0 days 02:00:00
58,Akot,Shegaon,Sheetal Travels Akola,56,06:15:00 PM,09:00:00 PM,False,Other,False,False,False,False,,,0 days 02:45:00
59,Akot,Shegaon,Sheetal Travels Akola,56,04:00:00 PM,06:30:00 PM,False,Other,False,False,False,False,,,0 days 02:30:00
60,Akot,Mehkar,Sheetal Travels Akola,154,07:00:00 PM,10:30:00 PM,False,Other,False,False,False,False,,,0 days 03:30:00
61,Akot,Aurangabad,Sheetal Travels Akola,273,04:00:00 PM,11:00:00 PM,False,Other,False,False,False,False,,,0 days 07:00:00
62,Akot,Jalna,Sheetal Travels Akola,217,04:00:00 PM,10:00:00 PM,False,Other,False,False,False,False,,,0 days 06:00:00
63,Akot,Jalna,Sheetal Travels Akola,217,05:00:00 PM,11:30:00 PM,False,Other,False,False,False,False,,,0 days 06:30:00
64,Akot,Khamgaon,Sheetal Travels Akola,74,04:00:00 PM,07:00:00 PM,False,Other,False,False,False,False,,,0 days 03:00:00
65,Akot,Khamgaon,Sheetal Travels Akola,74,06:15:00 PM,09:30:00 PM,False,Other,False,False,False,False,,,0 days 03:15:00
66,Akot,Khamgaon,Sheetal Travels Akola,74,05:00:00 PM,08:00:00 PM,False,Other,False,False,False,False,,,0 days 03:00:00
67,Akot,Akola,Sheetal Travels Akola,47,06:15:00 PM,08:00:00 PM,False,Other,False,False,False,False,,,0 days 01:45:00
68,Akot,Akola,Sheetal Travels Akola,47,07:00:00 PM,08:30:00 PM,False,Other,False,False,False,False,,,0 days 01:30:00
69,Akot,Akola,Sheetal Travels Akola,47,05:00:00 PM,06:30:00 PM,False,Other,False,False,False,False,,,0 days 01:30:00
70,Akot,Akola,Sheetal Travels Akola,47,04:00:00 PM,05:30:00 PM,False,Other,False,False,False,False,,,0 days 01:30:00
71,Akot,Patur,Sheetal Travels Akola,77,07:00:00 PM,08:30:00 PM,False,Other,False,False,False,False,,,0 days 01:30:00
72,Hosur,Sathyamangalam,Kings Travels,217,11:30:00 PM,04:55:00 AM,False,Sleeper,True,False,False,False,2+1,,0 days 05:25:00
73,Hosur,Marayur,Srs Travels (SRS Travels),340,10:30:00 PM,07:00:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 08:30:00
74,Hosur,Karaikal,Srs Travels (SRS Travels),320,11:30:00 PM,07:30:00 AM,False,Other,False,False,True,False,2+2,,0 days 08:00:00
75,Hosur,Karaikal,KPN Travels,370,10:15:00 PM,07:30:00 AM,False,Other,False,False,False,False,2+2,,0 days 09:15:00
76,Hosur,Vaikom,Kallada Travels,310,09:05:00 PM,04:50:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 07:45:00
77,Hosur,Adoor,Kallada Travels,486,07:30:00 PM,07:39:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
78,Hosur,Adoor,Srs Travels (SRS Travels),480,06:45:00 PM,06:45:00 AM,False,Semi-Sleeper,False,False,True,False,2+2,,0 days 12:00:00
